19.08.2026 22:12:34 : Logging started
19.08.2026 22:12:35 : INFO : Successfully imported the Active Directory module.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=CEPEncryption,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Setting owner of 'AD:\CN=CEPEncryption,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully set owner of 'AD:\CN=CEPEncryption,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=ClientAuth,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=ClientAuth,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=ClientAuth,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=ClientAuth,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Setting owner of 'AD:\CN=ClientAuth,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully set owner of 'AD:\CN=ClientAuth,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=CodeSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=CodeSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=CodeSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=CodeSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Setting owner of 'AD:\CN=CodeSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully set owner of 'AD:\CN=CodeSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=CrossCA,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=CrossCA,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=CrossCA,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=CrossCA,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Setting owner of 'AD:\CN=CrossCA,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully set owner of 'AD:\CN=CrossCA,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=CTLSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=CTLSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=CTLSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=CTLSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Setting owner of 'AD:\CN=CTLSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully set owner of 'AD:\CN=CTLSigning,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=DirectoryEmailReplication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=DirectoryEmailReplication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=DirectoryEmailReplication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=DirectoryEmailReplication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Setting owner of 'AD:\CN=DirectoryEmailReplication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully set owner of 'AD:\CN=DirectoryEmailReplication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=DomainController,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=DomainController,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=DomainController,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=DomainController,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Setting owner of 'AD:\CN=DomainController,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully set owner of 'AD:\CN=DomainController,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=DomainControllerAuthentication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=DomainControllerAuthentication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=DomainControllerAuthentication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=DomainControllerAuthentication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:37 : INFO : Setting owner of 'AD:\CN=DomainControllerAuthentication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully set owner of 'AD:\CN=DomainControllerAuthentication,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:37 : INFO : Successfully retrieved ACL for 'AD:\CN=EFS,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=EFS,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=EFS,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=EFS,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Setting owner of 'AD:\CN=EFS,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully set owner of 'AD:\CN=EFS,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=EFSRecovery,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=EFSRecovery,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=EFSRecovery,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=EFSRecovery,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Setting owner of 'AD:\CN=EFSRecovery,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully set owner of 'AD:\CN=EFSRecovery,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=EnrollmentAgent,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=EnrollmentAgent,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=EnrollmentAgent,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=EnrollmentAgent,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Setting owner of 'AD:\CN=EnrollmentAgent,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully set owner of 'AD:\CN=EnrollmentAgent,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=EnrollmentAgentOffline,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=EnrollmentAgentOffline,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=EnrollmentAgentOffline,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
